date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:10	1389/1389	---M--	200	added ('OK')	binary/octet-stream	date:Tue,%2016%20Aug%202016%2010:34:56%20GMT	http://images.one.co.il/images/articles/btn_rss.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/articles/btn_rss.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:10	318365/318365	---MCZ	200	added ('OK')	text/javascript	etag:d26dbf3a3f35ccd089e4c4b22c7dfc93	https://ecdn.firstimpression.io/apd.js?id=	C:/Users/Bar-PC/Desktop/Site/ecdn.firstimpression.io/apd5445.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:10	1173/1173	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202016%2015:09:56%20GMT	http://images.one.co.il/images/msites/2010/04/21/1545/fb_icon.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2010/04/21/1545/fb_icon.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:10	916/916	---M--	200	added ('OK')	binary/octet-stream	date:Tue,%2016%20Aug%202016%2010:34:58%20GMT	http://images.one.co.il/images/articles/twit.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/articles/twit.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:11	861/861	---M--	200	added ('OK')	binary/octet-stream	date:Tue,%2016%20Aug%202016%2010:34:56%20GMT	http://images.one.co.il/images/articles/btn_print.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/articles/btn_print.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:11	1090/1090	---M--	200	added ('OK')	binary/octet-stream	date:Tue,%2016%20Aug%202016%2010:34:56%20GMT	http://images.one.co.il/images/articles/btn_addcomment.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/articles/btn_addcomment.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:13	10814/10814	---M--	200	added ('OK')	image/gif	date:Thu,%2002%20Jul%202015%2004:24:54%20GMT	http://images.one.co.il/images/onetv/ajax-loader.gif	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/onetv/ajax-loader.gif	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:13	119247/119247	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2013:40:46%20GMT	http://images.one.co.il/images/d/dmain/ms/gg1346154.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/d/dmain/ms/gg1346154.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:17	21531/21531	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202016%2015:17:36%20GMT	http://images.one.co.il/images/msites/2015/02/24/1345/fb.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2015/02/24/1345/fb.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:17	21531/21531	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202016%2015:17:36%20GMT	http://images.one.co.il/images/msites/2015/02/24/1345/twitter.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2015/02/24/1345/twitter.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:18	86066/86066	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20May%202018%2017:42:58%20GMT	http://images.one.co.il/images/one/450_250/gg1346493.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1346493.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:20	21531/21531	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202016%2015:17:36%20GMT	http://images.one.co.il/images/msites/2015/02/24/1345/print.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2015/02/24/1345/print.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:20	44025/44025	---MC-	200	added ('OK')	application/javascript	date:Tue,%2022%20May%202018%2019:07:11%20GMT	https://apis.google.com/js/plusone.js	C:/Users/Bar-PC/Desktop/Site/apis.google.com/js/plusone.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:20	21531/21531	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202016%2015:17:36%20GMT	http://images.one.co.il/images/msites/2015/02/24/1345/mail.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2015/02/24/1345/mail.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:20	477/477	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202016%2011:39:22%20GMT	http://images.one.co.il/images/msites/2016/11/08/1330/play.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2016/11/08/1330/play.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:20	21531/21531	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202016%2015:17:36%20GMT	http://images.one.co.il/images/msites/2015/02/24/1345/comment.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2015/02/24/1345/comment.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:24	15147/15147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2009:23:53%20GMT	http://images.one.co.il/images/video/segment377x285/21_05_2018_12_2205.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/video/segment377x285/21_05_2018_12_2205.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:24	21310/21310	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20May%202018%2011:16:10%20GMT	http://images.one.co.il/images/video/segment377x285/22_05_2018_02_1454.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/video/segment377x285/22_05_2018_02_1454.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:24	65803/65803	---M-Z	200	added ('OK')	application/x-javascript	etag:%22655ae577f0c158b5321fef81724a1e2d:1526978565%22	http://widgets.outbrain.com/outbrain.js	C:/Users/Bar-PC/Desktop/Site/widgets.outbrain.com/outbrain.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:24	28766/28766	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20May%202018%2012:58:13%20GMT	http://images.one.co.il/images/video/segment377x285/22_05_2018_03_5801.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/video/segment377x285/22_05_2018_03_5801.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:26	25976/25976	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20May%202018%2011:27:14%20GMT	http://images.one.co.il/images/video/segment377x285/22_05_2018_02_2522.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/video/segment377x285/22_05_2018_02_2522.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:29	111942/111942	---M-Z	200	added ('OK')	application/javascript	etag:%226ec8e68a558a9ce18b7808139f675695%22	http://cdn.teads.tv/js/all-v1.js	C:/Users/Bar-PC/Desktop/Site/cdn.teads.tv/js/all-v1.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:07:29	17896/17896	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228b1c59b76bd680bb3bf1b759d32c9b35%22	http://releases.flowplayer.org/7.2.5/commercial/skin/icons/flowplayer.eot?	C:/Users/Bar-PC/Desktop/Site/releases.flowplayer.org/7.2.5/commercial/skin/icons/flowplayerd41d.eot	(from http://releases.flowplayer.org/7.2.5/commercial/skin/skin.css)
22:07:29	7908/7908	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2273ccb97fd8df0703038a40b00dc8ae5f%22	http://releases.flowplayer.org/7.2.5/commercial/skin/icons/flowplayer.woff2	C:/Users/Bar-PC/Desktop/Site/releases.flowplayer.org/7.2.5/commercial/skin/icons/flowplayer.woff2	(from http://releases.flowplayer.org/7.2.5/commercial/skin/skin.css)
22:07:29	17808/17808	---M--	200	added ('OK')	application/font-woff	etag:%223055674f97ef1b295ba52ee8c457a71a%22	http://releases.flowplayer.org/7.2.5/commercial/skin/icons/flowplayer.woff	C:/Users/Bar-PC/Desktop/Site/releases.flowplayer.org/7.2.5/commercial/skin/icons/flowplayer.woff	(from http://releases.flowplayer.org/7.2.5/commercial/skin/skin.css)
22:07:29	324/324	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2022%20May%202018%2019:07:26%20GMT	http://www.one.co.il/Article/17-18/1,1,2,59050/%s/profile.php?id=%s	C:/Users/Bar-PC/Desktop/Site/www.one.co.il/Article/17-18/1,1,2,59050/%s/profile.384d6d.delayed	(from http://connect.facebook.net/he_IL/all.js)
22:07:29	1245/1245	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2022%20May%202018%2019:07:27%20GMT	http://www.one.co.il/Article/17-18/1,1,2,59050/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/Bar-PC/Desktop/Site/www.one.co.il/Article/17-18/1,1,2,59050/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/he_IL/all.js)
22:07:30	222/222	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20May%202018%2019:07:27%20GMT	http://www.one.co.il/Article/17-18/1,1,2,59050/^([^:/?	C:/Users/Bar-PC/Desktop/Site/www.one.co.il/Article/17-18/1,1,2,59050/^([^_/indexd41d.html	(from http://connect.facebook.net/he_IL/all.js)
22:07:31	2256/2256	---M--	200	added ('OK')	image/png	date:Sun,%2013%20May%202018%2014:09:09%20GMT	http://images.one.co.il/images/msites/2018/05/13/d3e8675a0d86785d91a13be411928ccc.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2018/05/13/d3e8675a0d86785d91a13be411928ccc.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:31	3549/3549	---M--	200	added ('OK')	image/png	date:Wed,%2009%20May%202018%2007:03:31%20GMT	http://images.one.co.il/images/msites/2018/05/09/b70f841ee9206b6104205215e295a3a2.png	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/msites/2018/05/09/b70f841ee9206b6104205215e295a3a2.png	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:32	1245/1245	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2022%20May%202018%2019:07:26%20GMT	http://www.one.co.il/Article/17-18/1,1,2,59050/21_05_2018_06_1504.jpg	C:/Users/Bar-PC/Desktop/Site/www.one.co.il/Article/17-18/1,1,2,59050/21_05_2018_06_1504.3d.delayed	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:37	43075/43075	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2015:15:13%20GMT	http://images.one.co.il/images/video/segment775x460/21_05_2018_06_1504.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/video/segment775x460/21_05_2018_06_1504.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:39	46459/46459	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jan%202018%2016:27:20%20GMT	http://images.one.co.il/images/one/450_250/gg1328503.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1328503.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:42	81804/81804	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20May%202018%2009:33:39%20GMT	http://images.one.co.il/images/d/dmain/ms/gg1347233.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/d/dmain/ms/gg1347233.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:42	39943/39943	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2020:29:02%20GMT	http://images.one.co.il/images/one/450_250/gg1334255.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1334255.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:45	41494/41494	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Apr%202018%2015:36:55%20GMT	http://images.one.co.il/images/one/450_250/gg1340907.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1340907.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:48	45168/45168	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Apr%202018%2020:50:50%20GMT	http://images.one.co.il/images/one/450_250/gg1343435.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1343435.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:49	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Users/Bar-PC/Desktop/Site/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://c.flx1.com/85-13224.js?id=13224&m=85)
22:07:51	60044/60044	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2019:05:54%20GMT	http://images.one.co.il/images/one/450_250/gg1345611.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1345611.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
22:07:52	41487/41487	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20May%202018%2019:24:28%20GMT	http://images.one.co.il/images/one/450_250/gg1344452.jpg	C:/Users/Bar-PC/Desktop/Site/images.one.co.il/images/one/450_250/gg1344452.jpg	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313526.html)
